name,price
Hp 250 G8 11th Gen Intel Core I7 8GB RAM/1TB HDD Win 10 Pro,"₦ 925,000"
Hp Pavilion 15 11th Gen Intel Core I7 16GB/ 512 SSD Win 11,"₦ 1,290,000"
Asus Vivobook X515JA Intel Core I5 4GB RAM/512GB SSD Win 11 - Silver,"₦ 639,590"
SanDisk 2TB Extreme Portable 3.1 USB-C/USB SSD 520mb/s,"₦ 224,000"
Hp 15 Intel Pentium Silver 8GB/500GB HDD Win 10 + Mouse,"₦ 450,990"
SanDisk Extreme Portable 1TB SSD Up To 1050mbps,"₦ 182,000"
Hp Pavilion 15 11th Gen Core I5 16GB/1TB SSD Nvidia Graphics Mx350 Win 11,"₦ 1,015,000"
SanDisk 16GB Ultra OTG Flash Drive,"₦ 7,900"
SanDisk Cruzer Blade USB Pendrive 128GB,"₦ 15,000"
"Hp Pavilion 15 12th Gen Intel Core I5 15.6"" 16GB RAM/512GB SSD Win 11","₦ 950,500"
Asus ROG Flow Z13 Gaming GZ301ZC Intel Core I7-12700H 16GB/512GB 4GB Nvidia Win 11,"₦ 2,489,900"
SanDisk 2TB Extreme Portable SSD,"₦ 290,000"
"Hp Pavilion 15 X360 11th Gen Intel Core I7 15.6"" 16GB RAM/1TB SSD Win 11","₦ 1,320,000"
"SanDisk 1TB Extreme Portable SSD -Up To 1050MB/s USB-C,USB 3.2 Gen 2","₦ 183,800"
Hp Pavilion 15 11th Gen Core I5 1TB SSD/8GB Nvidia Graphics Mx350 Win 11,"₦ 970,500"
Hp 15 11th Gen Intel Core I5 12GB RAM/256GB SSD Win 11,"₦ 780,500"
"Hp 15 12th Gen Intel Core I3 15.6"" 16GB RAM/256GB SSD Fingerprint Reader Win 11","₦ 560,000"
SanDisk 64GB Ultra Fit Flash Drive,"₦ 9,800"
SanDisk 32GB Ultra Type-C OTG,"₦ 11,975"
Hp Pavilion 14 X360 11th Gen Intel Core I7 16GB RAM/512 SSD Win 11,"₦ 1,320,500"
SanDisk 32GB Cruzer Force Stainless Steel USB Flash Drive,"₦ 8,200"
Hp 15 Touchscreen 11th Gen Intel Core I3 16GB RAM/256GB SSD Win 11+ Bag,"₦ 675,700"
Hp Elitebook 840 G8 11th Gen Core I7 16GB RAM/512 SSD Win 11 Pro + Bag,"₦ 1,320,500"
Apple Magic Keyboard - British English,"₦ 191,999"
"Asus Zenbook UX325EA Core I7 13.3"" 8GB/512GB SSD Win 11 + Free Canon TS3440 AIO Color Printer","₦ 949,990"
Apple USB-C Digital AV Multiport Adapter,"₦ 105,999"
"SanDisk 480GB Portable SSD - Up To 520MB/s, USB-C, USB 3.2 Gen 2","₦ 95,000"
SanDisk 4TB Extreme Portable SSD,"₦ 548,000"
Hp Spectre 14 X360 13th Gen Intel Core I7 16GB RAM/1TB SSD Win 11,"₦ 2,290,000"
SanDisk 256gb Cruzer Glide USB Flash Drive USB 3.0,"₦ 28,900"
SanDisk 32GB 95MB/s Extreme Pro UHS-I SDHC Cards (SDSDXXG-032G),"₦ 15,900"
"SanDisk 500GB Extreme Portable SSD-Up To 1050MB/s USB-C,USB 3.2Gen 2","₦ 133,000"
SanDisk Portable SSD 2TB USB 3.2 Gen 2x2 Up To 2000MB,"₦ 485,000"
"SanDisk 2TB Extreme Portable SSD -Up To 1050MB/s USB-C,USB 3.2 Gen 2","₦ 328,000"
"Hp Spectre 14 X360 11th Gen Intel Core I7-1195G7 13.5"" 16GB RAM 1TB SSD Win 11","₦ 2,290,000"
Hp Envy 15 X360 12th Gen Intel Core I7 16GB/1TB SSD Win 11,"₦ 1,400,000"
Hp Envy 15 X360 Intel Core I7 16GB RAM/1TB SSD Win 11+ Wireless Mouse,"₦ 1,400,500"
"Hp Pavilion 14 X360 11th Gen Intel Core I7 14"" 16GB RAM/1TB SSD Win 11","₦ 1,320,800"
SanDisk 2TB Extreme Portable 3.1 USB-C/USB SSD 520mb/s,"₦ 223,000"
Hp 15 Touchscreen 12th Gen Intel Core I7 8GB RAM/512GB SSD Intel Iris XE Win 11,"₦ 995,900"
Hp Victus Gaming 16 12th Gen Intel Core I7 8GB RAM/1TB SSD GTX 1650 (4GB) Win 11,"₦ 1,830,000"
Asus ROG Flow Z13 Gaming Intel Core I7-12700H 13.4” 16GB/512GB SSD Win 11,"₦ 2,439,900"
SanDisk 480GB Extreme Portable SSD,"₦ 107,000"
Asus Vivobook X515JA Intel Core I5 4GB/512 SSD Win 11 - Silver + Free 32GB Flash Drive,"₦ 649,990"
"Hp 200 G4 AIO Desktop Intel Core I3 21.5"" 4GB/1TB HDD Win10","₦ 740,100"
Raspberry Pi 400 Personal Computer Kit - UK Layout - White,"₦ 240,400"
"Hp 255 G8 AMD Athlon 3150U 15.6"" 4GB RAM/1TB HDD Win 10","₦ 465,000"
"Hp 15 10th Gen Intel Core I5 8GB RAM/1TB HDD 15.6"" Win 10+ Mouse","₦ 770,500"
"Hp Pavilion 15 11th Gen Intel Core I7 15.6"" 16GB/512 SSD Win 10","₦ 1,390,000"
Hp Pavilion 15 11th Gen Core-i5 8GB RAM/512GB SSD Nvidia Graphics Mx350 Win 10,"₦ 970,600"
"Asus E410MA Intel Celeron 128GB, 4GB RAM Windows 10 + FREE 16GB Flash Drive","₦ 334,990"
Hp 15 11th Gen Intel Core I5 8GB RAM/256GB SSD Win 11,"₦ 795,700"
Hp 200 G4 All-In-One Intel Pentium  Dual Core 4GB RAM/1TB HDD Win 10,"₦ 640,500"
Hp Pavilion 15 10th Gen Core I5 12GB/512GB Win 10,"₦ 930,500"
Raspberry Pi Keyboard And Hub - Red/White,"₦ 38,500"
Hp 15 Touchscreen 11th Gen Intel Core I3 8GB RAM/256GB SSD Win 11,"₦ 595,000"
"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" 6GB Nvidia RTX 4050 WINS 11","₦ 1,900,000"
Raspberry Pi RP2040 Microcontroller,"₦ 10,500"
SanDisk 1TB Extreme Portable SSD (1050MB/s),"₦ 215,600"
Raspberry Pi 400 Personal Computer Unit Only - UK Layout,"₦ 178,500"
SanDisk SSD Plus 240GB,"₦ 57,800"
"Hp Pavilion 15 12th Gen Intel Core I5 15.6"" 8GB RAM/512GB SSD Win 11","₦ 925,000"
SanDisk SSD Plus 480GB,"₦ 69,000"
SanDisk 480GB Extreme Portable SSD,"₦ 108,000"
SanDisk 1TB Extreme Portable SSD (1050MB/s),"₦ 215,600"
Raspberry Official Raspberry Pi 4 Case,"₦ 15,500"
"Raspberry 7"" Touchscreen Display","₦ 151,500"
SanDisk 1TB Extreme Portable SSD,"₦ 179,000"
SanDisk Portable SSD 1TB USB 3.2 Gen 2x2 Up To 2000MB,"₦ 243,000"
"Hp Pavilion 15 11th Gen Intel Core I7 8GB, 512 SSD Touch/Backlit Keyboard Wins 11","₦ 1,290,000"
"Asus VivoBook Pro 15 K3500PH Intel Core I5 -  15.6"" - 8GB/512 SSD - Quiet Blue","₦ 884,990"
"Asus E410MA Intel Celeron 14"" 4GB RAM/128GB Win 10 + Free 16GB Flash Drive","₦ 189,990"
"Asus X415J Intel Core I3 14"" 4GB RAM/1TB HDD Win 10 + 16GB Flash","₦ 249,990"
"Asus X509FA Intel Core I3 15.6"" 4GB RAM/1TB HDD Win 10 + 32GB Flash Drive","₦ 259,990"
"Asus X509FA Intel Core I3 15.6"" 4GB RAM/1TB HDD Win 10 + 32GB Flash Drive","₦ 259,990"
